Participant_ID,Openness,Conscientiousness,Extroversion ,Agreeableness,Neuroticism,Reasoning (Brief)
40358,3,3,5,4,6,"Prefers ""familiar"" stories/rewatching ; low drive (""lazy"", ""chilling"") ; gossips about boss (""dictator"") ; slight anxiety (""overthinking"")."
92241,8,6,2,5,9,"High intellect (""intellectualize"", ""horror"") ; strict routines to manage ADHD ; solitary (""homebody"") ; high distress (""wish I could erase emotions"")."
46796,7,6,8,8,3,"Creative interests (""art"", ""photoshop"") ; active social life (""parties"", ""fancy dress"") ; altruistic (""work with homeless"") ; resilient/positive."
53958,9,8,5,3,2,"Very creative (""game dev"", ""sci-fi"") ; driven (""chipping like a mad miner"") ; abrasive/direct (""stop whining"") ; emotionally stable."
54165,5,5,4,8,10,"Interests in history/facts ; paralyzed by indecision ; extremely anxious/stressed (""queen of overthinking"", ""driving me mad"")."
31717,3,8,4,5,4,"Routine-oriented (same meals) ; highly calculated spending/planning (""coupons"", ""deals"") ; avoids intensity/crowds ; moderately critical."
39756,7,7,2,8,8,"Open to new methods (""grounding"", ""yoga"") ; school-focused (""expectations"") ; socially ""awkward"" ; high anxiety (""ruminate"")."
16042,5,8,5,9,2,"Nostalgic but likes travel ; high discipline (""cleaning"", ""40k steps"") ; very grateful/polite (""life is simple"") ; calm/resilient."
95835,7,2,4,5,6,"Cult film interests/French degree ; disorganized (""late for everything"", ""night owl"") ; feels left behind (""too old"") ; self-deprecating."
32999,4,6,7,8,2,"Traditional interests (fishing, reality TV) ; plans vacations ; social (""father in law"", ""boardwalk"") ; very relaxed (""chilling"")."
82305,6,8,6,8,5,"Trys new foods/gyms ; high discipline (""5am run"", ""16k"") ; social slang (""yas queen"") ; guilt over spending (""regret"")."
24311,8,2,2,6,8,"Niche interests (Japanese novels, art) ; low will (""indecision"", ""addicted"") ; socially isolated ; high regret/existential dread."
23564,2,5,2,5,9,"""Dull routine"" ; obsession with saving money ; isolated ; extreme negativity (""waste of money"", ""die by then"", ""guilt"")."
88147,5,8,8,6,8,"Home design interests ; persists through delays (""building it back up"") ; party planner (""cocktails"") ; high stress/venting (""life sucks"")."
76134,5,8,6,4,7,"Brand loyal (fashion) ; efficiency-focused (""sales"", ""plan"") ; cynical about tech leaders (""nefarious"") ; worries about AI job loss."
74568,8,6,8,8,2,"Creative environment (""hacker den"", ""neon"") ; encouraging (""stand up for yourself"") ; excited about life (""baby"", ""wife"")."
88009,7,7,2,3,5,"Literary/Music interests (Poe, BTS) ; focused on tasks (""house maintenance"") ; solitary (""private"") ; defensive/rude to bot."
83220,9,7,6,4,2,"Creative writing (""fantasy novel"", ""pixel art"") ; long-term investing ; playful but blunt (""are you fat?"") ; confident."
10345,8,8,9,9,1,"Entrepreneurial ideas (""app"", ""walking tour"") ; business planning ; energetic (""seize the day"") ; highly optimistic/helpful."
59741,8,3,6,5,4,"Creative writing prompts/mythology ; low structure (""mood reader"", ""chill"") ; casual/social slang ; relaxed demeanor."
65978,7,2,2,7,9,"Anime/Lore analysis; ""sunk cost"", ""addicted"", ""avoidance"" ; socially anxious ; high fear/anxiety (""scared"", ""on edge"")."
98498,5,4,1,8,9,"True crime interests ; struggles to concentrate ; severe social phobia (""people watching me"") ; empathetic/kind language."
91115,8,7,9,9,1,"Eclectic interests (trivia, travel) ; organized playlists/work ; very active (""cruise activities"") ; highly optimistic (""lucky"")."
40326,10,8,3,6,5,"Artist/Poet/Violin ; complex trauma psychology study ; introspective/solitary; ""melancholy"" but intellectualized."
72945,7,6,2,2,7,"Anime lore/Emulation ; strategic gaming; ""distanced myself"" ; cynical/hostile (""idiots"", ""snakes"") ; irritable."
40570,9,4,5,6,6,"Sci-fi/Philosophy/Surreal art ; gets bored easily (""move on to new things"") ; cynical but thoughtful (""jaded"")."
