Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Reasoning (Brief)
10345,8,7,8,5,2,Creative app ideas (culture/history); enthusiastic tone; frustrated by lack of cooperation.
11492,6,9,6,8,1,"Focus on ""sincere effort"" and goals; highly optimistic vocabulary; motivational."
12178,8,8,4,3,6,High intellectual curiosity (ingredients/politics); skeptical/fact-checking; argumentative.
16042,5,8,5,8,4,"Disciplined (40k steps); polite; nostalgic for ""simpler times"" and old movies."
16234,5,6,3,5,9,"Wants escape/travel; stressed by noise/neighbors; frequent use of ""can't cope."""
17304,6,8,8,9,3,"""Mother of the house"" role; hosting/cooking; welcoming language; enjoys horror."
18724,4,8,2,7,3,"Self-described ""boring/homebody""; structured workouts; polite but reserved."
21566,8,3,5,3,7,"Critical/philosophical views on religion; ""winging it""; chronic pain/ADHD mentions."
22826,2,2,5,1,5,"Dismissive short answers; rude to bot (""old woman""); focused on beer/hangover."
23105,6,6,9,8,7,"High energy/slang (""slapped""); social focus (grad/clubbing); anxiety about events."
23429,7,6,6,9,2,Gardening/nature focus; optimistic attitude; very patient and supportive.
23564,2,9,2,5,9,Extreme frugality/saving; fear of homelessness; dull routine; guilt over spending.
24311,8,2,2,5,8,"Deep regret/philosophical; ""crippling indecision""; addiction to tech/gaming."
26586,6,8,5,8,5,High-pressure finance job; seeks calm/peace; appreciative of simple moments.
26627,3,8,5,8,8,"Fixated on cleaning/routine; ""paranoid"" about pets; grieving; can't relax."
29239,6,6,4,5,9,"Uses comedy to cope; overwhelmed by family health/politics; ""mind is soup."""
29937,9,8,2,6,2,Mechanics/AI expert; independent learning; explicitly prefers solitude.
30122,5,6,3,9,8,"""Existential crisis""; empathic; OCD mentions; deep connection to pets."
31717,4,7,3,4,4,Frugal/efficiency focused; solitary hobbies (theme parks alone); annoyed by crowds.
32062,5,5,6,8,5,"Polite social exchange; frustrated by ""grind/routine""; seeks connection."
32418,5,5,6,4,5,"""Peak male lifestyle"" focus; crypto gambling; blunt/assertive tone."
32999,5,6,6,8,5,"Vacation planning; fishing; self-identified ""overthinker"" but generally chill."
33211,8,6,5,7,3,Wide music/film taste; freelance work; stable and enjoying hobbies.
