Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Reasoning (Brief)
11566059,8,6,4,8,3,"Articulate, enjoys arts/chess; self-described ""homebody"" but socially polite."
11566066,4,5,2,5,2,Very brief responses; explicitly prefers solitude and time alone.
11566067,3,2,6,4,4,Chaotic/disjointed text; socially seeking but erratic and repetitive.
11566069,7,9,8,9,1,Highly disciplined (marathons/coaching); discusses visualization; very positive.
11566073,5,6,3,8,3,"Introverted (""penguin dance""); detailed discussion of TV/cleaning; polite."
11566074,8,5,2,3,4,"""Homebody"" who dislikes parties; keen interest in sci-fi/Lovecraft; blunt."
11566081,5,3,8,7,2,"Flirtatious, playful slang (""liesss""); socially energetic but casual."
11566142,5,5,2,5,3,Minimalist responses; asks factual history questions; reserved.
11566218,9,5,2,9,8,"Poet/writer; self-described ""shy/introverted""; high anxiety/grief mentioned."
11580653,5,8,3,4,6,Night shift worker; cynical about modern movies; solitary hobbies.
11580672,8,8,8,9,1,Adventure seeker (Joshua Tree/Alaska); road trips with kids; enthusiastic.
11580907,7,4,2,8,5,Housebound/bored; avid reader (King/Patterson); engaging but solitary.
11580923,7,8,3,8,2,Focus on IT certs/self-improvement; builds PCs; solitary fishing.
11580940,6,5,3,4,4,"Guarded/skeptical (""won't tell you""); political commentary; Wildlife major."
11581134,6,2,2,5,4,Disengaged/brief; sci-fi interest; low effort in conversation.
11581555,9,6,6,9,6,Musician/composer; articulate; highly empathetic/worried about friend.
11581620,7,8,4,9,2,Work-from-home routine; disciplined walker; introverted but makes effort.
11602380,8,8,6,9,2,Tech/sustainability enthusiast; passionate about efficiency; positive.
11650702,7,5,3,8,4,"Interests in history/travel; ""relatively poor""/introverted hobbies."
11651220,7,9,3,8,2,Teacher; cautious about sharing info; disciplined work ethic; avid reader.
11651466,5,6,8,3,6,"Assertive/aggressive language (""real dick""); manages bingo; confident."
11651689,10,8,6,10,1,"""Spread love""; paints oils/writes children's books; philosophical."
11652569,8,5,1,5,5,"""Not a people person""; solo travel (Belize/Colombia); photography."
11652658,8,8,6,9,2,Active (rock climbing); creative cook; organized parent.
11652702,8,9,2,9,1,"Crafts/reading; prepares for Christmas in Sept; ""solitary hobbies""."
11652900,4,3,2,5,2,Relaxed/lazy day; pool/pets; playful but low effort.
11653598,4,10,5,2,9,Bodybuilder; extremely disciplined; high stress/irritability/financial worry.
11665444,5,6,5,9,7,"Sports fan; emotional about pet loss; ""hard to not see her""."
11665450,5,8,5,9,2,Organized planner; sports fan; consistent and polite.
11665465,8,8,2,9,2,"""Mostly introverted""; Sci-Fi/Fantasy reader; gardening/cooking."
11665605,6,8,8,10,1,"Strong faith (""talk to Him daily""); Taylor Swift fan; ministry volunteer."
11665637,5,9,6,9,2,"Gig worker (9 platforms); homeschooling; ""family first"" values."
11665717,7,9,5,8,2,"Marathoner/climber; disciplined sleep; values ""quiet time""."
11665781,10,9,2,8,1,Scientific writer/researcher; specialized interests (plants/history); solitary.
11665846,4,8,8,2,3,"Aggressive tone (""You're a hermit!""); gym/discipline focus; blunt."
11666017,5,5,7,8,5,New parent; tired/stressed; flirtatious/playful tone.
11666076,8,9,2,6,2,"Entrepreneur (tree nursery); introverted (""draining""); nature focus."
11666153,8,5,2,8,9,High grief/insomnia; reads fantasy; struggling to cope but polite.
11666462,8,8,6,9,2,Language learner (Korean/Russian); travels; close with family.
11666481,2,2,1,5,4,"Very brief/low effort (""yea i like peace""); bored; survey taker."
11666498,8,9,5,8,2,Organized morning routine; plays board games (Codenames); articulate.
11666541,8,6,5,9,2,Friendly; enjoys new media/podcasts; cooking/gardening.
11666969,8,7,8,9,2,"Massage therapist/festival worker; ""people person""; high energy."
11667145,8,8,3,8,2,Artist (sketching); side hustles; prefers private trails; creative.
11667383,9,6,2,9,3,"Fantasy writer; cozy gamer; Bob Ross fan; ""terrible at endings""."
11667572,7,8,8,5,2,"Vegas gambler; hiker; adventurous; ""hard to build trust""."
11667573,8,8,7,9,2,Gardener (native plants); dating excitement; enthusiastic cook.
11667632,10,9,4,8,3,Screenwriter/novelist; creative professional; loves horror/analysis.
11667763,5,5,8,4,3,"Evasive/playful (""investigating people""); extroverted/flirtatious."
11667966,5,10,8,8,2,Bodybuilder/boxer; highly disciplined diet; football party host.
11668005,7,5,5,3,5,Suspicious/confrontational tone; desires travel; inquisitive.
11668041,7,8,2,8,2,"DIY camper build; IT certs; ""sit inside all day""; gamer."
11668218,9,3,8,8,2,"High imagination/roleplay (""visit the queen""); playful/unserious."
11668279,8,9,3,9,1,"""Preparation Day""; cooking/cleaning; classical music/horror fan."
11668368,8,8,2,8,6,Master's degree; INFJ; interest in astrology; anxiety mentioned.
11671634,9,9,3,9,2,History degree; learning languages; disciplined; polite.
11671697,6,8,2,8,5,Loves gray/rainy weather; knitting; World of Warcraft; stress mentioned.
11671818,5,2,5,2,5,"Apathetic/cynical (""candidates suck""); low effort; disengaged."
11672647,2,2,1,1,4,"Abrupt/Rude (""Tom Hanks is gross""); ""stay at home""; hostile."
11674611,8,8,3,9,2,History major; learning Korean; introverted; family-oriented.
11674631,8,5,8,6,3,Adventure tourist (iguana/skydiving); thrill-seeker; chatty.
11675287,5,5,2,8,3,Simple tastes (burgers/Mario); polite; unassuming.
11913392,7,5,5,8,2,"""Calm music makes me sleepy""; travel/hiking interests; polite."
11914120,8,5,2,3,8,Insomnia/sleep issues; cynical politics; reads horror; irritable.
11931829,8,8,2,9,2,Pixel artist; scything (manual mowing); nature focused; quiet.
