Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Primary Evidence (Quote),Reasoning Summary
11566059,6,6,2,3,6,"""I do, I have a dog so I spend a lot of time walking the paths and trails around here""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11566066,9,6,4,7,8,"""I think having some time to yourself is important now and then What do you do when you want to pr...""",Complex sentence structure and abstract vocabulary suggest Openness.
11566067,9,4,7,10,8,"""I could use a new boyfriend Ok sounds good What are you doing this weekend How many friends I lik...""",Politeness and agreement words suggest Agreeableness.
11566069,7,8,6,2,8,"""As a former athlete, I like the events I competed in which are the longer distance races like the...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11566073,2,5,3,8,7,"""I can kind of dance like a penguin though I guess but I really don't do it in front of others I l...""",Politeness and agreement words suggest Agreeableness.
11566074,3,7,6,7,4,"""Sure thing, doesn't seem like we have much in common though""",Politeness and agreement words suggest Agreeableness.
11566081,10,4,5,3,6,"""Do you think we live in a simulation I believe in it elon musk Do you think we can know anything ...""",Complex sentence structure and abstract vocabulary suggest Openness.
11566142,5,1,2,9,1,"""none so far that sounds good ld i bring sure are most night hikes re how long will it take sure i...""",Politeness and agreement words suggest Agreeableness.
11566218,9,7,8,9,4,"""My favorite authors are Stephen King and Robin Hobb The last King book I read was Fairy Tale""",Complex sentence structure and abstract vocabulary suggest Openness.
11580653,7,10,5,6,6,"""Not much I work at nights so I go in tomorrow night to work""","Focus on work, duty, and order indicates Conscientiousness."
11580672,7,6,10,6,7,"""My day is ending lol - its almost bed time no unfortunately - just working always - I have a stro...""",Social words and positive energy indicate Extroversion.
11580907,8,3,7,4,2,"""great you no choice i ended up getting covid better at the end of it what do you do at home for b...""",Complex sentence structure and abstract vocabulary suggest Openness.
11580923,2,8,2,7,7,"""I will work hard and will try not to let you down I will be sure to keep that in mind Thank you f...""","Focus on work, duty, and order indicates Conscientiousness."
11580940,2,8,1,5,2,"""I went but didn't finish""","Focus on work, duty, and order indicates Conscientiousness."
11581134,6,8,4,4,3,"""It is hard to belive it is almost 20 years old Yes it does no problem just that I will try I agre...""","Focus on work, duty, and order indicates Conscientiousness."
11581555,7,5,8,2,6,"""A little mixed emotions about it, but happy we are still friends about it all""",Social words and positive energy indicate Extroversion.
11581620,6,9,8,2,9,"""I do get out on the weekends and I usually take an hour walk in a park near my house on weekdays ...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11602380,6,2,5,5,1,"""Just think of how many people have told you that they are changing their phone just because the b...""",Complex sentence structure and abstract vocabulary suggest Openness.
11650702,10,2,2,1,6,"""Plus, I can learn about new book authors or new music artists as well""",Complex sentence structure and abstract vocabulary suggest Openness.
11651220,4,10,2,5,10,"""I like to know more about someone before I share too much about myself""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11651466,8,4,8,4,2,"""When we got together, most people had not even heard about the internet""",Social words and positive energy indicate Extroversion.
11651689,4,1,10,9,1,"""I love people who are mostly extroverts, kind, also energetic and independent thinkers""",Social words and positive energy indicate Extroversion.
11652569,5,7,5,8,10,"""I wish I could calm my mind though I have but with no success Okay, I might try that""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11652658,4,3,4,5,6,"""I read My Life with Polio for my book club""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11652702,7,6,5,3,5,"""I had to read one of them for college, but my professor chose maybe the second or last book, so I...""",Complex sentence structure and abstract vocabulary suggest Openness.
11652900,4,6,7,9,7,"""I love mexican food I guess nachos if I had to pick I don't like cooking but I can't afford to go...""",Politeness and agreement words suggest Agreeableness.
11653598,2,5,5,1,9,"""I have been feeling a lot of stress lately I try to meditate but I find it hard to stay focused I...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11665444,3,7,8,9,7,"""Good thank you, and you""",Politeness and agreement words suggest Agreeableness.
11665450,1,9,10,10,8,"""We normally don't celebrate birthdays, but we are this year""",Social words and positive energy indicate Extroversion.
11665465,4,6,4,3,5,"""I'm just busy working""","Focus on work, duty, and order indicates Conscientiousness."
11665605,6,2,8,8,9,"""He is my favorite, I never knew I could love an animal like I do him""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11665637,4,10,8,2,4,"""They are enjoying school and getting back into the routine of being in school""","Focus on work, duty, and order indicates Conscientiousness."
11665717,3,3,9,6,9,"""I find that too much stress can also affect my sleep And you also wake up during the night""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11665781,8,7,3,2,8,"""I dream to go to India some day I have a friend that owns a home in India and he's invited me man...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11665846,3,7,9,9,2,"""Do anything fun last night""",Social words and positive energy indicate Extroversion.
11666017,3,7,3,10,10,"""I'm very tired No, i have a newborn It's hard but we're managing She is great - rarely cries Teag...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11666076,7,8,1,2,2,"""Hey Pat im good Nothing exciting here I'm boring lol I like to grow plants flowering trees fruit ...""","Focus on work, duty, and order indicates Conscientiousness."
11666153,7,4,6,1,2,"""I read quite a bit and do have some hobbies I could i previously only do when my toddler was asleep""",Complex sentence structure and abstract vocabulary suggest Openness.
11666462,9,2,6,4,6,"""But as far as the things we did I think going to some of the restaurants and eating really good f...""",Complex sentence structure and abstract vocabulary suggest Openness.
11666481,5,9,1,8,3,"""i have used it for work I do online work like surveys""","Focus on work, duty, and order indicates Conscientiousness."
11666498,5,9,4,4,8,"""I love running errands in the morning when I can, I usually can't make it work with my schedule, ...""","Focus on work, duty, and order indicates Conscientiousness."
11666541,5,3,6,5,5,"""Sometimes its hard to get in when they are not busy but when we do it's great""",Social words and positive energy indicate Extroversion.
11666969,9,4,5,2,4,"""these days I need a restival instead of festival sometimes these days I'll go and just hide at ca...""",Complex sentence structure and abstract vocabulary suggest Openness.
11667145,9,6,4,5,9,"""I already have a little plan drafted on how to do the layout yeah i have some potted plants but I...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11667383,8,5,9,5,9,"""I've always enjoyed art but I'm a terrible artist, I can't draw but love watching Bob Ross create...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11667572,4,9,9,6,9,"""I like having a calm easy going chat like this without a doubt - my life is hectic so a break in ...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11667573,2,4,10,9,8,"""We had our first date on Sunday""",Social words and positive energy indicate Extroversion.
11667632,3,7,5,7,5,"""I like food and I like people""",Politeness and agreement words suggest Agreeableness.
11667763,2,7,4,8,10,"""I'm at the park with my dog right now""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11667966,3,3,8,4,7,"""But recently our coach had an exhibition night where people had some short matches for charity""",Social words and positive energy indicate Extroversion.
11668005,6,2,8,6,8,"""anyway, i'd consider myself more of an ambivert because i do love my alone time, but i'm not shy ...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11668041,5,9,9,3,7,"""Even as an adult I still love spending hours exploring new worlds and making friends online""",Social words and positive energy indicate Extroversion.
11668218,5,10,7,8,5,"""sure thing yeah, on my 15-minute break from work, i need to fix the rail tracks in my city and re...""","Focus on work, duty, and order indicates Conscientiousness."
11668279,6,7,7,4,4,"""It's a nice hour or so that the neighborhood is quiet from pedestrians and cars Thank you If we ...""",Social words and positive energy indicate Extroversion.
11668368,6,4,6,3,6,"""We do a tree like everybody else and I usually bake a ton of cookies It varies year to year, I al...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11671634,4,4,7,9,4,"""Thanks, I'm sure I will""",Politeness and agreement words suggest Agreeableness.
11671697,8,5,4,2,2,"""I don't think we have any Ethiopian restaurants around here where I could try it, unfortunately I...""",Complex sentence structure and abstract vocabulary suggest Openness.
11671818,3,6,7,3,8,"""Honestly know I believe that we're just screwed whichever way it goes I cope with them fine I'm n...""","Frequent use of first-person pronouns ('I', 'my') indicates self-focus/Neuroticism."
11672647,5,5,6,5,1,"""I love sushi""",Social words and positive energy indicate Extroversion.
11674611,6,5,9,1,6,"""Plus learning korean will help me while watching korean dramas which i love I've gotten my whole ...""",Social words and positive energy indicate Extroversion.
11674631,8,3,2,5,4,"""What novel is that""",Complex sentence structure and abstract vocabulary suggest Openness.
11675287,9,5,6,7,7,"""I don't think I've ever had sushi Yeah, sounds good My favorite color is red""",Complex sentence structure and abstract vocabulary suggest Openness.
